"id";"swls_1_t1";"swls_2_t1";"swls_3_t1";"swls_4_t1";"swls_5_t1";"uls_1_t1";"uls_2_t1";"uls_3_t1";"uls_4_t1";"uls_5_t1";"uls_6_t1";"uls_7_t1";"uls_8_t1";"uls_9_t1";"awb_1_t1";"awb_2_t1";"awb_3_t1";"awb_4_t1";"awb_5_t1";"awb_6_t1";"demog_ses_t1";"party_affiliation_t1";"support_election2020_t1"
"FA20_1J29548C567K";3;5;3;2;2;3;3;4;2;4;3;3;2;4;2;4;3;2;1;4;7;2;2
"FA20_1JDDLHMVB4ML";3;6;6;6;5;2;3;4;1;4;4;3;2;4;2;4;5;1;3;2;7;1;1
"FA20_1JYLDC6YTVSD";5;6;6;6;3;2;4;4;3;4;3;4;3;4;1;4;5;2;4;3;4;2;2
"FA20_1L2HFGGYW98L";4;3;6;5;5;2;4;4;2;4;3;4;2;4;2;2;5;2;5;4;5;3;1
"FA20_1LW561SDY10I";5;5;6;6;3;3;3;4;3;4;3;4;1;3;1;1;4;2;5;4;6;4;3
"FA20_1MZWR5IZFSMX";2;5;2;5;3;4;3;3;4;3;2;2;4;3;5;5;3;4;3;3;7;3;2
"FA20_1RVSM5GCVVGM";4;5;4;2;4;3;3;3;3;2;2;2;3;3;1;2;3;3;4;3;8;4;2
"FA20_1T2A1N4L2PJ7";2;2;4;4;2;3;4;3;2;3;4;4;3;4;5;4;3;4;2;3;6;2;3
"FA20_1TBYODQK130K";1;5;2;2;1;4;2;3;4;3;3;2;4;2;1;4;2;4;1;1;8;2;2
"FA20_1TWFYFFX5NBR";3;6;3;6;3;2;4;4;3;4;3;4;2;4;2;4;3;2;3;4;8;3;3
"FA20_1U6WMF8OK5T1";6;7;7;7;7;2;3;4;3;4;4;4;3;4;4;4;5;2;5;5;10;1;1
"FA20_1X4B3EFR2YPF";5;5;6;7;1;3;4;3;3;4;3;3;3;4;4;5;5;4;5;3;7;2;2
