"id";"momentary_wellbeing_angry_ema";"momentary_wellbeing_worried_ema";"momentary_wellbeing_happy_ema";"momentary_wellbeing_sad_ema";"momentary_wellbeing_stressed_ema";"momentary_wellbeing_lonely_ema";"momentary_wellbeing_accepted_ema";"momentary_context_activity_ema";"momentary_context_social_media_ema"
"FA20_VEMAMVKHUB10";1;1;1;1;1;1;1;"15";NA
"FA20_ZP4MCKROCS9O";1;2;2;1;2;1;2;"1,2";NA
"FA20_VR8A4G310QEP";1;1;3;1;1;1;3;"2,18";NA
"FA20_SX11UUN9SBPU";1;1;3;1;1;1;3;"1,2";NA
"FA20_9E9JHCJOHPFR";1;1;1;2;2;3;2;"3,9";NA
"FA20_V983MZBILWY7";1;2;2;1;3;1;2;"5";3
"FA20_CZW7MY4IZZ4B";2;2;1;1;3;1;2;"1";NA
"FA20_NJBHWCWA1HJ6";2;3;2;4;3;4;1;"1";NA
"FA20_7RK3U01JNCD2";1;1;1;1;1;1;1;"8";NA
"FA20_88QEHRWB8GLI";1;1;3;1;2;1;4;"1";NA
"FA20_XDHGFNEKPEIU";1;1;1;2;1;2;2;"1,4,5,15";3
"FA20_T2BP2P4NNTLS";1;1;NA;1;2;1;4;"2";NA
"FA20_0KJDE7G10W70";1;1;3;1;1;1;2;"1,5";1
"FA20_WP6YRB4F0VKH";1;1;3;1;1;1;3;"1,4";NA
"FA20_3JPQFBBBG4UC";1;1;3;1;3;1;2;"1,10";NA
"FA20_9MGG93WERHME";1;2;2;2;2;2;3;"2,4,7";NA
"FA20_T7HYZRK76AKW";1;1;3;2;1;1;3;"5,13,18";3
"FA20_Z6DVYXONQR65";1;1;1;1;1;2;1;"7";NA
"FA20_97TNS17VC9BK";3;2;2;4;2;2;3;"3,9";NA
"FA20_QESXAK55DFH6";2;3;1;2;4;2;1;"2,4,12,15";NA
"FA20_E4QF2SZ0AAIF";1;3;2;1;4;1;NA;"11";NA
"FA20_UVMFMJZ5W329";1;1;1;1;1;1;1;"2";NA
"FA20_NNPDRYCMGX5B";NA;NA;NA;NA;NA;NA;NA;NA;NA
"FA20_1984EBYSK07A";1;1;3;1;2;1;3;"2";NA
"FA20_LLXHQUE33MV6";2;4;1;1;4;1;1;"2";NA
"FA20_AU4094P5XZIR";1;1;3;1;1;1;3;"1,4";NA
"FA20_VG7F2FR2PRAG";1;2;3;1;2;1;3;"15";NA
"FA20_099DSJXP660I";1;1;4;1;2;1;4;"1";NA
"FA20_PT2YHP0OSIG6";1;1;4;1;1;1;3;"2";NA
"FA20_EUO9FL3KLH2Y";1;2;4;1;1;1;4;"1,5,9,18";4
"FA20_362PUZTGJK5Z";1;1;3;1;2;1;4;"1,12";NA
"FA20_G5NKVZ2KP5VB";1;3;2;2;3;3;2;"1";NA
"FA20_7H5R3X5OMG7W";1;3;2;2;3;2;2;"1,4";NA
"FA20_I4GEG4BTHY8U";1;3;2;1;4;1;2;"2";NA
"FA20_388BSNJLGFAJ";1;2;4;1;2;1;3;"2,9";NA
"FA20_FM1409GL56R6";1;3;1;2;2;1;1;"2";NA
"FA20_J3XX7NX7M0J4";1;1;1;1;3;1;3;"1,18";NA
"FA20_CO34FWPBN86Y";1;1;3;1;2;1;2;"1,15";NA
"FA20_U0GZRPGZ82DE";2;1;4;1;1;1;4;"15";NA
"FA20_C6Q6X42M5QLG";1;2;1;3;1;3;1;"5,6,12,15,19";2
"FA20_18FIRLUJFT4I";1;2;1;1;3;1;2;"2,4";NA
"FA20_UPDNUMS92WMD";1;1;3;1;1;1;3;"15";NA
"FA20_TVWIXKA2JMOB";1;2;3;1;3;1;4;"1,5,18";2
"FA20_SOJBJA7UU63W";1;2;2;2;2;3;2;"2,18";NA
"FA20_3RKDR0KF64YX";1;3;3;2;3;1;3;"2,5,12";1
"FA20_QYB68S38W0BS";1;1;1;1;1;2;NA;"1,2,10";NA
"FA20_HOVEUFNI77TA";1;2;1;1;2;1;2;"7,10,18";NA
"FA20_CPKHDJK7YBIV";1;2;1;1;2;1;1;"2,12";NA
"FA20_H2Z1HOO9XNJT";1;1;4;1;2;2;4;"3";NA
"FA20_J3KXST2VE4WF";1;2;2;2;2;3;2;"2,9,14,18";NA
"FA20_5XXLF8A4JZS6";1;1;2;1;1;1;2;"5,12";4
"FA20_RM1TWEXX6QFX";2;3;2;2;3;2;2;"1,2,5";1
"FA20_R3W1490CEGQ7";1;1;2;2;2;2;2;"1";NA
"FA20_LR58AWLU3UOP";1;1;4;1;1;2;4;"4,5,9";3
"FA20_6PAZ0W1NMROG";3;3;3;2;3;2;3;"2";NA
"FA20_OR4ZWH416ZID";1;2;3;1;3;1;3;"18";NA
"FA20_UPOLG878M1S4";1;1;3;1;1;1;4;"1,2,4,5,6,9,17";1
"FA20_NXP8TNKD9GL0";1;2;3;1;2;1;3;"15";NA
"FA20_ONXPBM7709WW";1;2;3;1;2;1;4;"1";NA
"FA20_NH8T9KRBNPVN";1;2;2;1;2;1;3;"1,2";NA
"FA20_I1C17E9C6N1L";1;1;2;1;2;2;2;"2,18";NA
"FA20_DGRW61Y4U6C3";3;3;3;3;4;4;2;"1,4";NA
"FA20_TZN50MZN3AK7";1;2;3;1;3;1;2;"1";NA
"FA20_HIY56A97WFYM";1;2;2;1;2;1;1;"1,10,18";NA
"FA20_D7SOY3TAXQS8";1;1;4;1;1;1;4;"1,15";NA
"FA20_J3DEG9KUSRL7";1;1;2;1;2;1;NA;"10";NA
"FA20_QBFVI3SX4GD3";1;1;1;1;4;1;2;"2";NA
"FA20_K2C0RQ48JV5F";1;1;3;1;2;1;3;"15";NA
"FA20_8WNH9ET55K7S";1;1;3;1;1;1;3;"8";NA
"FA20_VK0V8Z8PTEEU";1;2;3;1;4;2;4;"1";NA
"FA20_V4KWCQW0MLVF";1;1;3;1;1;1;3;"2,7,12";NA
"FA20_ECZQAHSRBV9D";2;2;3;1;2;2;2;"4,5,12";2
"FA20_S31L15EWA7RW";1;1;2;1;1;1;3;"1";NA
"FA20_FL9IY2ADH0EE";1;1;2;2;1;1;3;"15";NA
"FA20_EYH54WNSCJCF";1;2;4;1;2;1;3;"1,18";NA
"FA20_241JGPZFPSRT";1;1;4;1;1;1;4;"1,18";NA
"FA20_KCGUYRHMQRR5";1;1;4;1;1;1;4;"8,9";NA
"FA20_2YLZWYF9DPN4";1;1;3;1;1;3;4;"1";NA
"FA20_6P7ZDV2NURY7";1;3;1;4;3;3;1;"5,15";3
"FA20_TOUXFGNQJ9BK";1;2;3;1;2;2;3;"1,2,5,17,18";2
"FA20_ERZJ5R2LM5MV";1;1;4;1;1;1;4;"5";3
"FA20_0CZU6GPE47MH";1;2;2;3;2;3;1;"5,17";4
"FA20_O5KHIBBZY45C";3;1;1;3;3;3;1;"1";NA
"FA20_GDT5CPYPFHAR";1;3;2;2;4;2;2;"1,2,4,5,13";1
"FA20_IP4J6QMYRYJ2";1;1;2;1;2;1;2;"13";NA
"FA20_FTH4MHSL8FNZ";1;2;1;1;2;1;3;"1,2";NA
"FA20_9CMAAWSSU2M6";1;3;3;1;3;1;NA;"7";NA
"FA20_H7EY2KBJEJK6";1;2;2;1;3;1;4;"2";NA
"FA20_S8PSGVQP866B";1;2;2;1;2;1;1;"1,2,5,18";1
"FA20_VVJABDFTID35";1;3;1;2;4;1;1;"1";NA
"FA20_I8P5HAXP184O";1;1;1;1;1;1;3;"1";NA
"FA20_0QJX4YSAUWPF";1;1;4;1;1;1;4;"5,12";2
"FA20_H9J55U1DPIIC";1;1;3;1;2;1;3;"2";NA
"FA20_O4GFHD95X1EP";1;2;4;1;2;1;3;"6,7,15,18";NA
"FA20_65LA8QRH88W2";1;1;3;1;1;1;4;"2,5,6,9,12,18";1
"FA20_7XDOBZF1GIAL";1;1;1;1;1;1;1;"1";NA
"FA20_UD1SAU6TNU9D";2;2;NA;NA;2;NA;NA;"2,9,18";NA
"FA20_WTYGKCZ9R79K";1;1;2;2;2;1;3;"2";NA
"FA20_0GN5N1TAG1XZ";1;1;4;1;1;1;NA;"2";NA
"FA20_JNAYSU5BYRYR";1;1;4;1;1;1;4;"1";NA
"FA20_1RVSM5GCVVGM";1;1;3;1;1;2;NA;"2,12";NA
"FA20_YNPBSU5A6LEE";1;1;2;1;2;2;2;"1,2";NA
"FA20_E35WVASWXPJA";1;4;1;3;4;3;1;"1,2,4,5,11,15";1
"FA20_VH48WRAUV72N";1;1;2;1;3;1;2;"1,2,18";NA
"FA20_MQYZO6839IRX";2;2;2;3;3;4;4;"1";NA
"FA20_X1M08M2DCRCO";1;1;2;4;2;2;NA;"1,10";NA
"FA20_ZKIB2UKPDQF9";1;4;3;1;2;2;4;"6";NA
"FA20_5LZ04TT9OMPY";1;2;1;2;3;3;2;"5,15,18";3
"FA20_XZX7ZXXEVZ8D";1;2;3;1;2;1;3;"2,5,10,18";3
"FA20_2ZYL9N1K5768";2;2;2;2;3;2;2;"10";NA
"FA20_M399XKOZA1YQ";2;2;2;2;2;2;3;"1,2";NA
"FA20_QZX3ZSSFSQ0C";1;1;2;1;1;1;1;"2,5,18";1
"FA20_1CWLMO6WDJQH";1;2;2;2;2;1;2;"1,2,5";1
"FA20_EDBY4H6OHPXO";1;1;2;1;1;1;3;"5,18";4
"FA20_2NNCB8CH28S6";1;2;2;2;3;1;2;"2,7";NA
"FA20_X0GAHXH55C1H";1;1;1;1;2;4;1;"4,5,15";4
"FA20_5ADZITPEMS0W";1;3;2;2;3;2;3;"4,7,19";NA
"FA20_K4BDJMBKE1GO";1;1;2;1;1;1;3;"15,18";NA
"FA20_RC2GGPA3SKKB";1;1;2;1;2;1;2;"2,5,18";2
"FA20_7USHPLDFQQ53";1;2;3;1;3;1;2;"10,18";NA
"FA20_3I70BU3T4TXL";1;1;2;1;1;1;2;"1,2,10,12";NA
"FA20_HH9M8MLBWKRE";1;1;3;1;2;1;1;"1,2,4,9,18";NA
"FA20_3AMGCZA34BHI";1;1;2;1;2;1;2;"2";NA
"FA20_D7K0X3XM41CU";1;2;3;1;3;1;3;"1,2,5,18";2
"FA20_19AFKNN3LB92";1;3;2;2;3;3;2;"1";NA
"FA20_M0UL1LG2ZYWO";1;1;1;2;2;1;1;"15,18";NA
"FA20_9G0OCA1D4562";1;1;1;1;1;3;1;"19";NA
"FA20_3CHK0U1YAZOE";1;2;3;1;3;1;2;"2,6,7,18";NA
"FA20_VEB1Z0O8R3DU";1;1;2;1;2;1;2;"1,2,4,5,18";1
"FA20_A590VJ2J2K2J";1;2;4;1;1;1;4;"3";NA
"FA20_9MANZMHCN9NR";1;3;4;3;3;3;3;"10";NA
"FA20_RJMVWE1J2AH6";2;1;2;2;2;2;2;"8";NA
"FA20_1AQ4PRUN0HNH";1;3;2;2;4;1;3;"1,18";NA
"FA20_R7K408JV0A6I";1;4;3;4;4;1;4;"2";NA
"FA20_XJ4HDRW4ZIND";1;2;2;2;3;2;2;"1,2,10,18";NA
"FA20_GL29K8ZGOYU5";1;4;1;1;4;1;1;"1,2";NA
"FA20_MPNTOV55T1RF";1;1;2;2;4;2;2;"18";NA
"FA20_K488SKPI1XJO";1;1;2;1;1;1;4;"15";NA
"FA20_XRFGPUONTR9S";2;3;2;2;4;4;1;"15";NA
"FA20_PEBARMZ4TXUL";1;1;3;1;2;2;2;"5,12";2
"FA20_WSZ3527JAZO2";1;1;4;1;1;1;4;"2,15";NA
"FA20_QBRMAPUN0UX1";2;3;2;2;4;2;2;"1,18";NA
"FA20_5HEE35323MCE";1;3;3;1;3;1;2;"10,18";NA
"FA20_WYYFZS62X2NX";1;2;3;2;3;1;3;"2,9,10";NA
"FA20_JELSS6237J31";2;1;2;1;3;1;3;"15";NA
"FA20_GHJQZSV3Q61P";3;4;1;4;4;4;1;"4,15";NA
"FA20_KYB5V8KMBFO1";1;2;2;1;2;1;2;"2,18";NA
"FA20_EEJKMC34WFDD";2;3;2;3;3;2;1;"2,4,5,11,12";1
"FA20_N1UMYJQWH0NJ";1;2;2;1;2;1;2;"7";NA
"FA20_EZIIOK1D45H3";1;2;3;1;2;1;3;"1,5,14";1
"FA20_UCK5K21J5MXI";1;1;3;2;1;2;4;"7";NA
"FA20_V2JFGAJR6H82";1;1;3;1;2;1;2;"1";NA
"FA20_BK8NXRY5R5U1";1;1;2;1;1;1;2;"7,10";NA
"FA20_NX3Z9VJ7DRLP";1;2;3;2;4;2;3;"1,5,7,10,12,15,18";2
"FA20_OUY7YO6T8FJT";1;1;3;1;2;1;2;"2,5,7,18";1
"FA20_ETAH6XP6PQVC";1;1;4;2;2;2;4;"1,2,12,18";NA
"FA20_O68ZFNEWNF6A";1;1;4;1;1;1;4;"5";4
"FA20_M8OF23O42T1G";1;4;1;4;3;4;3;"1";NA
"FA20_3OBP2KUVFP2K";1;1;3;1;1;1;3;"5,15";2
"FA20_6OVV7WQNFH6S";1;1;2;1;1;1;2;"18";NA
"FA20_9GVI561L38ZC";1;2;2;3;2;1;3;"4,5,9,18";2
"FA20_1T2A1N4L2PJ7";1;2;3;1;2;1;2;"7";NA
"FA20_OQIAACUAN3HW";1;1;3;1;1;1;3;"5";4
"FA20_2NY4QTF1SDIX";2;3;2;2;3;2;3;"1,5,9";1
"FA20_IDZR8AUN3AWS";2;3;1;3;3;3;1;"1,2";NA
"FA20_40B6HLDKY70U";1;1;1;1;1;1;1;"1,4,15";NA
"FA20_3R4GFERH2ZKT";1;4;3;1;3;1;4;"19";NA
"FA20_AN3YPS0CBOYL";1;1;3;1;2;1;3;"5,7,12,18,19";1
"FA20_8K9JU9W15YXL";1;1;3;1;2;1;3;"2";NA
"FA20_3POP0B2CNLFH";1;1;4;1;1;1;3;"13";NA
"FA20_0MKHHGE0CE9G";1;1;1;1;1;1;NA;"1,9,14,18";NA
"FA20_2KC5UV3YM6YC";1;1;4;1;1;1;2;"2";NA
"FA20_4N4QJHCFYM6L";1;2;2;1;2;3;1;"10,18";NA
"FA20_YH6TC730JPDR";1;1;2;1;3;1;2;"18";NA
"FA20_1HCM9SEFIRTT";1;1;3;1;1;1;2;"2,5,8";1
"FA20_JYAJ164HBGBY";1;2;4;1;3;2;3;"1,15";NA
"FA20_GJWVAXTH6798";1;1;2;1;1;1;2;"17,18";NA
"FA20_MKHE2260V697";1;2;3;2;2;2;2;"1,2,18";NA
"FA20_OJ6IBN1SERSF";1;2;2;1;3;1;3;"15";NA
"FA20_HO81GXD1LOQW";1;1;1;1;1;1;1;"18";NA
"FA20_NZTLZ3OVMX8P";1;1;2;1;2;1;4;"1";NA
"FA20_32Y7VBSSEXG3";1;2;3;1;4;2;4;"2";NA
"FA20_LW6V6O1WYSZL";1;1;3;1;1;1;3;"1,18";NA
"FA20_4SCL9RQOX81R";2;3;2;2;3;2;2;"2,9";NA
"FA20_6PP5DS82IEEX";2;2;2;2;2;1;2;"1,2";NA
"FA20_I00ZO1NRAN4V";2;2;2;1;3;1;2;"2";NA
"FA20_XHJHO6E7M84Y";1;1;4;1;2;1;3;"1,2";NA
"FA20_DTJBEGDMZRNF";1;2;3;2;2;1;3;"1,18";NA
"FA20_MWK506G5WS50";1;2;3;1;2;1;3;"2,11";NA
"FA20_C0DN3CHVUS3V";1;2;1;1;3;3;2;"1,4";NA
"FA20_BP7U0HPV6NDH";1;3;2;1;4;1;3;"2,4,12";NA
"FA20_HY4TTEJTO2BA";1;2;3;1;2;1;NA;"4,19";NA
"FA20_YJ0T69391SLJ";1;3;1;2;3;1;3;"4,7,10,15,16";NA
"FA20_NSGEBEALMRTZ";1;2;2;3;3;4;2;"1";NA
"FA20_TRXQUUTVXG3C";1;3;2;1;4;2;2;"2,10";NA
"FA20_ZPPOMJW4DPE3";1;2;3;2;2;2;2;"1,2,4,5,18";1
"FA20_35JWI6KTT7IM";1;1;3;1;2;1;3;"7,15";NA
"FA20_641FGGRLZ66S";1;2;2;1;2;2;2;"1";NA
"FA20_VR8A4G310QEP";1;1;4;1;1;1;4;"2,15";NA
"FA20_MK3ERVMG9B31";1;3;2;1;2;2;3;"2";NA
"FA20_3FVB6E6CF9UT";2;3;2;1;3;3;2;"1,2,4,10";NA
"FA20_MZZ7DYQXI3IK";1;3;2;2;3;1;1;"2,5,6,9";1
"FA20_XGG0Z7RAZO4E";1;2;3;2;2;2;4;"1,5,9,18";1
"FA20_RIC2KKLTDYFZ";1;3;3;2;3;1;4;"2,5,7,9,12";1
"FA20_6RRB7RD66BEJ";1;1;4;1;1;1;4;"2,12,18";NA
"FA20_UBVHTIQ1VZQK";1;1;1;1;1;1;1;"11";NA
"FA20_41CVDUG41HMA";1;2;2;1;2;2;2;"2,12";NA
"FA20_W0W61J5PQMDK";1;1;2;1;1;1;2;"15";NA
"FA20_1FS82D2KKGZR";1;1;2;1;2;1;NA;"2";NA
"FA20_QFXPFS2W3EN6";1;2;2;2;2;2;3;"1,2";NA
"FA20_IBIV0W7CABS2";1;3;2;2;3;2;2;"1,4,7,10";NA
"FA20_5PGYS8YMJ7PK";1;1;2;1;1;1;NA;"1";NA
"FA20_QROZNGYFB5AW";2;3;2;2;4;3;3;"2,4,5,7";3
"FA20_9LAZI904NJ1W";1;1;1;1;1;1;1;"2,10";NA
"FA20_MJARZ4AYEDZV";1;2;3;1;2;1;4;"2,5,9";1
"FA20_M7CTNQ3QW9JN";1;1;4;1;2;1;4;"1,12,18";NA
"FA20_ABIE02B4NYUW";1;1;4;1;1;1;4;"7";NA
"FA20_E7F3OFSY9D8P";1;2;3;1;3;1;2;"2";NA
"FA20_DHJ0207UOSM6";1;4;3;1;4;1;4;"1,2,18";NA
"FA20_S15ZJ2AWU62Z";1;1;3;1;2;2;2;"18";NA
"FA20_1Y91NEDKRAM0";1;3;1;1;3;1;2;"15";NA
"FA20_A76172WE4GY1";1;2;2;2;3;2;3;"3,5,6,9,18";2
"FA20_AELBLBYS1KCR";1;2;3;1;4;1;3;"5,10,18";2
"FA20_EP0O22AT8B3J";1;1;2;3;4;3;2;"5,18";2
"FA20_PI9Z0PSXLREI";1;1;2;2;3;2;2;"1,5,12,18";2
"FA20_3ZYQYUHP9NR1";1;3;4;1;3;1;3;"5,18";2
"FA20_CT7O3MP9321M";1;1;3;1;1;1;4;"2,11,12";NA
"FA20_NI6AU9GUS0G4";1;3;1;4;4;4;1;"15";NA
"FA20_ZI1NFLWM60V7";1;1;2;1;2;1;2;"1,2,4,5";1
"FA20_XLXPGAPJBBOP";1;1;4;1;1;1;4;"2";NA
"FA20_VEMAMVKHUB10";1;1;1;1;1;1;1;"1";NA
"FA20_JZY3WRQQULX2";1;1;2;2;2;2;2;"2";NA
"FA20_THQ8PNIJMRZ8";1;1;3;1;2;1;3;"1,13";NA
"FA20_8CS9X1UANROG";1;1;3;1;1;1;3;"1";NA
"FA20_D4094G0BWCCM";1;2;4;1;2;1;NA;"2";NA
"FA20_M71OBT45EJ8B";1;1;2;2;3;4;1;"1,2,18";NA
"FA20_9M6LKHMPM0OZ";1;3;2;1;3;2;2;"1";NA
"FA20_CK54W46WDWLO";2;1;2;1;2;2;3;"1,6,7";NA
"FA20_JEPC7IYEL2JT";1;2;4;1;2;1;2;"7,12,18";NA
"FA20_MCGDJXD4IF2E";1;3;1;2;4;2;NA;"2";NA
"FA20_8T53PER4PQL2";3;4;1;4;4;2;2;"9,18";NA
"FA20_BWQTF0LY0CH8";1;1;3;1;1;1;2;"1,19";NA
"FA20_2AD97L0WAD94";1;1;2;1;1;1;3;"2";NA
"FA20_XDEGI4GDHWQ7";1;1;2;1;2;1;3;"2,4,5,10,12";2
"FA20_PMBBB66IPQMR";1;3;2;2;4;1;3;"2,18";NA
"FA20_N7MVALVPXH4A";2;4;2;1;4;2;3;"2,3,9,18";NA
"FA20_6Z3DJ0GJO69M";1;1;3;1;1;1;3;"1,10,18";NA
"FA20_OOTOJ6UDA6VL";1;1;2;1;2;1;2;"2,5";3
"FA20_D0FON874RTYH";1;2;3;2;3;2;3;"2,5,11,18";1
"FA20_OQBJ7QG1EPRS";2;1;1;1;2;3;1;"1,2,5";1
"FA20_8251MH4GKSGS";1;2;3;1;2;1;2;"7,14,18";NA
"FA20_0CQ277AQDRLV";2;2;3;3;2;3;3;"1,5,9";2
"FA20_RUIRIDZUL13H";1;2;2;1;4;2;2;"14,18";NA
"FA20_KGJ4VFW9GMFU";1;1;3;1;2;1;2;"1,4,13,18";NA
"FA20_4XN4G1RRUX28";1;1;2;1;1;1;1;"5,7,12,15,18";2
"FA20_MKNJQI1VM38O";1;1;2;1;1;1;2;"6,7";NA
"FA20_1JDDLHMVB4ML";1;1;3;1;2;1;NA;"2";NA
"FA20_R94ZAT2PXRRN";1;2;1;1;3;1;1;"1";NA
"FA20_R6W9TBWT34WF";1;3;4;2;3;1;3;"2,18";NA
"FA20_RCX1U2V2QQY6";1;3;3;2;3;2;2;"1,2,4,18";NA
"FA20_IS7ZXBUV5ZL6";2;1;2;2;3;3;3;"1";NA
"FA20_QJ0LQCNDOVOU";1;3;2;1;3;1;3;"1";NA
"FA20_AN40U9G5V5TF";1;1;2;1;1;1;3;"1,5,15,18";1
"FA20_E1V045X224Q4";1;2;2;1;2;1;2;"15";NA
"FA20_Y403P4X0QGOL";1;1;4;2;1;2;3;"1";NA
"FA20_RONLPC2YX45I";1;1;3;2;2;1;3;"1";NA
"FA20_WVNXXLZW4ESR";1;1;1;2;2;2;1;"15";NA
"FA20_B2I7BX9MDSRD";1;2;3;1;2;1;2;"3,18";NA
"FA20_J7W24TVXZJOP";1;3;2;1;3;1;2;"2,14";NA
"FA20_63QELRN5SEBB";1;1;4;1;1;1;3;"1,5,7,12";2
"FA20_YX0THXMD4YZE";1;2;2;1;2;1;2;"12,15";NA
"FA20_O4KV8V3A2W0I";2;4;1;2;4;1;1;"2";NA
"FA20_C7X3L5XFW9GG";2;3;3;2;3;3;4;"2,8";NA
"FA20_UMT2A8IY6C0R";1;2;2;3;3;3;2;"1,2,5,10";1
"FA20_LYD5I751CJEG";1;1;2;1;2;1;2;"1,2";NA
"FA20_ZP4MCKROCS9O";1;1;2;1;2;1;2;"2,15";NA
"FA20_ZE7N74JP3LHT";1;1;1;1;1;1;1;"15";NA
"FA20_NG3XMHSODW4Z";1;2;2;2;2;3;2;"2,11";NA
"FA20_P1TGDUU8ZVLR";1;2;NA;NA;3;4;NA;"1,5,12,18";3
"FA20_73FSNKVTC24V";1;1;3;1;1;1;NA;"2,4";NA
"FA20_2JVJPFQLAO2U";1;1;4;1;1;1;4;"2,5,12,18";1
"FA20_ZIULPFSCQ7JQ";1;1;4;1;1;1;4;"1,11";NA
"FA20_P4HQ1QC2R1ZS";1;1;2;3;3;3;3;"2";NA
"FA20_4OJFZ518JSW1";1;1;4;1;3;1;4;"5,6";1
"FA20_OUBGBNCG1TTF";1;2;1;1;3;1;2;"1,5,15";1
"FA20_2OYTJ60D2K3L";1;3;NA;1;3;NA;NA;"2";NA
"FA20_FRQBTHS8XU9P";1;1;3;1;2;1;3;"2";NA
"FA20_JRSWVQ4LUIUO";1;1;4;1;2;1;3;"5,7";2
"FA20_09P025YG7BY0";1;2;1;1;2;1;2;"1";NA
"FA20_0ME93O1LSDR2";1;4;2;2;4;3;2;"1,2";NA
"FA20_IVNSV6200VQE";1;2;3;1;2;1;1;"2,15";NA
"FA20_7V0HSGY9WR1K";1;4;2;1;4;1;3;"9,12,18";NA
"FA20_XRLE8WIMV9R6";1;2;2;3;3;3;2;"1,2,5,12,18";3
"FA20_HPNSQA8YVE1L";1;2;2;1;4;1;3;"2,18";NA
"FA20_ZLVB252IJ85Q";1;2;2;1;3;2;1;"1,2";NA
"FA20_DXC0A52M4Z5P";1;1;3;1;1;1;3;"1,2,5";3
"FA20_GRADE97Z6SQM";1;1;3;1;2;1;3;"2";NA
"FA20_EF1RKTNDNFY6";1;1;3;1;3;2;3;"2,5";2
"FA20_TCB46WLW23TU";1;2;3;2;1;1;4;"7,15";NA
"FA20_ODLISU7ZNRJB";1;1;2;1;2;1;2;"2";NA
"FA20_JTBM2QUI8FZY";1;1;1;1;1;1;3;"1,2";NA
"FA20_VWXTHI2I8WL6";1;1;4;1;1;1;4;"2";NA
"FA20_PY4FNU500GHJ";2;4;1;4;4;4;2;"2";NA
"FA20_RS4U7RE5N3F0";1;2;2;1;2;2;2;"18";NA
"FA20_VSMF49VVR2RS";2;4;2;2;4;2;3;"2,4,5";3
"FA20_A4LFLGBYOHPQ";2;3;2;3;3;2;2;"1,2,4,5,6";2
"FA20_3KF7994VZE4U";1;1;2;1;3;1;2;"2,18";NA
"FA20_GS8Y819KYQ4K";1;2;3;1;3;1;3;"2,12,17";NA
"FA20_4RWYQ0J1DQDV";1;2;2;3;1;1;2;"10";NA
"FA20_8DR420GF3EMC";1;2;2;2;3;2;2;"5,12,15,18";1
"FA20_PIPJ6IDWUJT8";1;1;2;2;2;2;2;"2,18";NA
"FA20_2ISFC50E04CO";1;2;4;1;4;1;4;"2";NA
"FA20_DZ9KY0STG8LV";1;2;2;2;2;2;2;"5,15";1
"FA20_VG2M51C5SYUV";1;1;3;1;2;1;2;"2,12";NA
"FA20_5QQCTDBWOOEC";1;1;3;2;1;1;1;"15";NA
"FA20_VV55CJGPGO8M";1;1;1;1;1;1;2;"15";NA
"FA20_B2CDMKUHXVI4";1;1;2;2;1;1;2;"1";NA
"FA20_7I3X1ETG9CP6";1;2;2;2;3;1;2;"1,9";NA
"FA20_V81KWOHA7DG1";1;1;4;1;1;1;4;"1";NA
"FA20_FQJU3H3SCAGD";2;2;4;1;2;1;3;"3,5,7,9,12,18";1
"FA20_XLX1V6SZ8A2N";1;1;3;1;2;2;2;"1,2";NA
"FA20_TNJU6511GDY3";1;1;2;2;2;2;2;"2,10";NA
"FA20_7TQYSH1SLOMY";1;1;3;2;3;1;NA;"1,19";NA
"FA20_VPJLBEWZY54Q";1;2;3;2;2;1;3;"1,2,5";1
"FA20_IQESTSWEITPF";1;2;4;2;3;2;2;"2";NA
"FA20_PZUG7CRADML1";1;1;4;1;1;1;4;"9,10,18";NA
"FA20_UJJHAA9L7IOJ";1;2;3;1;3;2;3;"18";NA
"FA20_V9KD1NVD2QFT";1;2;2;2;3;2;2;"7,10,18";NA
"FA20_7CTRIIMK3C79";1;3;1;2;3;2;1;"2";NA
"FA20_7IGT49NYPIEZ";3;4;1;4;4;2;1;"1,2,12";NA
"FA20_RSWTH6SGCNF2";1;2;2;2;2;3;2;"15";NA
"FA20_UCJYBA6RSASK";1;1;2;1;2;1;2;"1,3,4";NA
"FA20_R81LGG6K4I3W";1;2;3;1;2;1;1;"2,5,10,18";1
"FA20_D9W5JDT2C66P";1;1;4;1;2;1;3;"1";NA
"FA20_LE3M988AYACN";1;2;3;1;2;2;NA;"3,5,18";1
"FA20_89I88TVVSR20";1;1;4;1;1;1;4;"1,2,7,18";NA
"FA20_EESFOOASN2S7";2;3;2;3;3;3;2;"2,13";NA
"FA20_542LNPOBACIQ";1;2;1;1;3;2;2;"2,18";NA
"FA20_4B0FU6A7E9FA";1;1;3;1;1;1;3;"1,4,15";NA
"FA20_YBFVOTG25O6M";1;1;4;1;2;1;4;"1,8";NA
"FA20_3TP97VFVUXGY";1;2;4;1;4;1;4;"2";NA
"FA20_GKZF1F8YW53Q";1;2;4;1;2;1;4;"2,4,5";1
"FA20_I5TIAHM9GDFI";1;1;3;1;2;1;2;"5";4
"FA20_ZIIE44702YIB";2;3;3;3;3;3;4;"2";NA
"FA20_LWX7A80A9ADY";1;1;1;1;1;1;1;"1";NA
"FA20_M2ENVF1RY3DH";1;1;4;1;2;1;4;"2";NA
"FA20_VNAFWFKQ9MYY";1;2;2;1;2;1;2;"11";NA
"FA20_EOM9EAN0W77D";1;2;2;2;3;2;2;"4,5";3
"FA20_NB0E63IV19LX";1;3;2;1;3;1;4;"2,9,12,18";NA
