"id";"momentary_wellbeing_angry_ema";"momentary_wellbeing_worried_ema";"momentary_wellbeing_happy_ema";"momentary_wellbeing_sad_ema";"momentary_wellbeing_stressed_ema";"momentary_wellbeing_lonely_ema";"momentary_wellbeing_accepted_ema";"momentary_context_activity_ema";"momentary_context_social_media_ema"
"FA20_1RVSM5GCVVGM";1;2;2;2;1;3;2;"1,2,4,5,12,13,15,18";1
"FA20_35QXODH78SNR";1;2;4;1;3;2;4;"2";NA
"FA20_OUBGBNCG1TTF";1;3;2;1;3;1;2;"4,5,11";4
"FA20_39FQ13QICMPI";1;3;1;2;4;3;2;"15";NA
"FA20_G80MXJMUT02V";1;2;2;1;2;2;2;"18";NA
"FA20_JIU12RQDEVKF";1;2;3;1;3;1;2;"2,4,5,9,15,18";1
"FA20_UBVHTIQ1VZQK";NA;3;2;1;3;1;2;"3";NA
"FA20_OAA1SWV1EZGL";1;4;1;1;4;2;1;"19";NA
"FA20_11G699LZZFCO";1;1;2;2;3;2;2;"15";NA
"FA20_PBMZFBO3RQMF";1;1;4;2;2;4;2;"5,8,12,15,18";1
"FA20_LLXHQUE33MV6";1;1;2;1;1;1;1;"4,18";NA
"FA20_9M6LKHMPM0OZ";1;4;3;3;2;2;1;"2,9,10,18";NA
"FA20_542LNPOBACIQ";2;1;1;3;3;3;1;"2,12";NA
"FA20_G5NKVZ2KP5VB";1;2;2;2;3;2;3;"4,5,12";1
"FA20_KDYPQA38VG0J";2;2;3;2;2;1;3;"2";NA
"FA20_NG3XMHSODW4Z";1;3;1;3;3;4;2;"15";NA
"FA20_JEPC7IYEL2JT";1;1;1;1;2;1;1;"19";NA
"FA20_3FVB6E6CF9UT";1;2;3;1;2;3;3;"4,5,8,10";1
"FA20_ZMGS8WCKIZH0";1;2;3;1;3;2;2;"1,2,4,5,12,15,18";1
"FA20_7H5R3X5OMG7W";1;2;3;2;2;3;3;"2,5,15,18";2
"FA20_32Y7VBSSEXG3";2;3;2;1;3;1;2;"15";NA
"FA20_AF5OESQKIFS7";1;1;4;2;2;2;2;"2,4,5,12,17,18";2
"FA20_3CHK0U1YAZOE";1;4;2;2;4;2;2;"1,2,5,15,18";1
"FA20_L4I4KPAPCLDB";1;1;3;1;2;1;4;"18";NA
"FA20_QBRMAPUN0UX1";2;4;1;2;4;2;2;"2";NA
"FA20_7LTLZXLJF9GR";1;2;1;1;2;1;1;"19";NA
"FA20_HKHN6PQOUMB4";1;2;1;3;4;2;2;"3";NA
"FA20_8UHGH89F82PS";2;2;3;2;3;2;2;"15";NA
"FA20_NNPDRYCMGX5B";1;4;1;1;4;1;1;"15";NA
"FA20_K488SKPI1XJO";1;1;3;1;1;1;4;"19";NA
"FA20_1TBYODQK130K";1;2;1;1;3;3;3;"4,5,12,15,18";2
"FA20_7QWVRM603IBY";1;3;2;2;4;3;2;"4,5,12,18";1
"FA20_RJMVWE1J2AH6";2;3;3;2;3;3;2;"19";NA
"FA20_D6PX49DTTAP8";1;2;3;1;3;1;3;"11,15";NA
"FA20_N1UMYJQWH0NJ";1;2;2;1;2;1;2;"15";NA
"FA20_PI9Z0PSXLREI";1;2;2;1;2;2;2;"15";NA
"FA20_R3W1490CEGQ7";1;2;2;3;4;3;2;"1";NA
"FA20_O68ZFNEWNF6A";1;1;4;1;3;1;3;"1,4,5";2
"FA20_3MGF1WUKKZX6";4;4;1;4;4;1;4;"15";NA
"FA20_Z6LPHLEK70GT";1;1;4;1;2;1;3;"1,18";NA
"FA20_A590VJ2J2K2J";1;4;3;3;4;1;3;"1,3,4,5";2
"FA20_FQJU3H3SCAGD";1;2;3;1;1;1;3;"15";NA
"FA20_QBDGL5404TFG";1;2;1;1;4;3;2;"1";NA
"FA20_8CS9X1UANROG";1;3;3;2;4;2;3;"2,4,5,12";1
"FA20_7T6T7JJ5OIFT";2;3;1;2;3;2;3;"2";NA
"FA20_UJJHAA9L7IOJ";1;2;1;1;2;2;1;"15";NA
"FA20_HHGYKXHVC4D4";1;2;2;2;3;2;2;"2,4,5";1
"FA20_7CTRIIMK3C79";2;3;1;2;4;2;3;"5";1
"FA20_0MKHHGE0CE9G";1;3;2;2;3;2;3;"5,14,18";1
"FA20_XJ4HDRW4ZIND";1;2;2;2;2;2;2;"2,5,10,12,18";1
"FA20_C5966DTA4PQ1";1;3;2;1;3;2;2;"5,19";1
"FA20_YBFVOTG25O6M";2;2;2;2;2;2;1;"2";NA
"FA20_X1M08M2DCRCO";1;2;3;3;4;1;3;"1,2,4,5,9,13";1
"FA20_0KJDE7G10W70";1;1;3;1;1;1;2;"1";NA
"FA20_1HCM9SEFIRTT";1;2;3;1;2;2;1;"2,5";2
"FA20_I00ZO1NRAN4V";1;1;3;1;1;1;3;"2,4,5,12,15,18";2
"FA20_I1C17E9C6N1L";1;2;4;1;2;1;3;"2,4,7,9,18";NA
"FA20_ZEIUC854BCK9";1;1;1;1;2;1;2;"1,4,5,15";1
"FA20_RK3GFJYY8ATN";1;1;4;1;2;1;4;"2,5,10,11,15,18";1
"FA20_LWX7A80A9ADY";1;1;2;1;4;3;1;"5";1
"FA20_1TBYODQK130K";1;3;1;1;4;3;3;"2,4,5,12,18";2
"FA20_VNAFWFKQ9MYY";1;2;4;1;2;1;4;"15";NA
"FA20_XRLE8WIMV9R6";1;4;3;3;4;2;3;"1,2,5,12,18";2
"FA20_5IJVYO1EZW20";1;3;2;2;3;1;3;"2,5,15,18";1
"FA20_L4I4KPAPCLDB";1;1;4;1;2;1;4;"4,5,8,9,12,18";1
"FA20_PBMZFBO3RQMF";1;1;2;2;1;3;2;"10";NA
"FA20_DTJBEGDMZRNF";1;2;3;1;2;2;3;"1,2,4";NA
"FA20_M399XKOZA1YQ";2;2;3;2;2;3;3;"1";NA
"FA20_N1UMYJQWH0NJ";1;1;1;1;2;1;2;"2,18";NA
