"id";"political_orientation_t2";"swls_1_t2";"swls_2_t2";"swls_3_t2";"swls_4_t2";"swls_5_t2";"uls_1_t2";"uls_2_t2";"uls_3_t2";"uls_4_t2";"uls_5_t2";"uls_6_t2";"uls_7_t2";"uls_8_t2";"uls_9_t2";"awb_1_t2";"awb_2_t2";"awb_3_t2";"awb_4_t2";"awb_5_t2";"awb_6_t2";"ksa_1_t2";"ksa_2_t2";"ksa_3_t2"
"FA20_01GGS494K9QA";7;3;7;3;2;3;3;2;4;3;4;2;3;2;1;3;5;3;3;2;2;2;2;1
"FA20_02IYYIRNC5WN";4;5;6;6;6;4;1;3;4;2;4;4;4;3;3;2;4;4;2;3;2;4;2;3
"FA20_057L052NRXLM";6;2;1;3;5;2;3;2;3;3;3;2;3;3;3;4;4;5;5;2;3;1;1;1
"FA20_06Y7734Z99S2";4;2;5;2;2;7;4;3;3;3;4;3;3;3;4;3;5;4;4;3;2;2;2;3
"FA20_07JUEFFUWBIG";4;3;5;4;3;4;3;3;3;3;2;2;3;2;3;1;3;2;4;3;2;3;3;3
"FA20_099DSJXP660I";7;4;7;3;5;3;4;3;1;3;1;2;2;3;1;4;5;5;3;4;2;1;1;3
"FA20_09P025YG7BY0";3;5;6;7;6;1;2;4;4;2;4;4;4;2;3;2;2;4;1;3;3;5;2;1
"FA20_0CQ277AQDRLV";6;2;3;2;5;4;4;3;4;3;4;3;3;3;4;3;4;3;5;3;2;2;1;3
"FA20_0CZU6GPE47MH";2;2;4;3;2;3;4;2;2;3;2;2;2;3;3;2;3;2;3;2;3;3;3;4
"FA20_0DERWF0FWF3R";6;1;1;1;1;1;3;2;3;4;2;3;3;4;3;5;5;4;5;2;1;1;1;1
"FA20_0EWERGFB6SBT";5;3;2;4;3;3;2;3;4;2;3;2;3;2;3;2;2;3;1;3;3;2;3;3
"FA20_0F3JKU6YQ2LB";5;5;5;5;6;5;3;3;3;3;3;3;3;3;4;4;4;4;4;3;4;2;2;1
"FA20_0GN5N1TAG1XZ";4;6;7;7;7;6;4;4;4;2;4;3;3;1;3;1;1;5;2;4;5;1;3;3
"FA20_0IPMVR7EY772";6;2;2;2;2;3;4;2;2;4;3;2;3;3;1;3;4;2;3;1;3;3;4;3
"FA20_0IVRD2QPWXI2";5;4;6;5;7;5;3;3;3;3;3;3;3;3;3;1;2;4;2;2;2;1;3;4
